ICAO,SpokenName,CWT,SRS,Manufacturer,Tags
PAY3,Cheyenne,I,II,Piper Aircraft,cwt_i srs_ii mfr_piperaircraft
B772,Heavy Boeing Seven Seventy-Seven,B,III,Boeing,cwt_b srs_iii mfr_boeing
A343,"Heavy Airbus (or ""A"") Three Forty",B,III,Airbus,cwt_b srs_iii mfr_airbus
PA46,Malibu,I,I,Piper Aircraft,cwt_i srs_i mfr_piperaircraft
BE36,Bonanza,I,I,Beechcraft,cwt_i srs_i mfr_beechcraft
BE40,Beechjet,H,III,Beechcraft,cwt_h srs_iii mfr_beechcraft
PA31,Navajo,I,II,Piper Aircraft,cwt_i srs_ii mfr_piperaircraft
A306,"Heavy Airbus (or ""A"") Three Hundred",C,III,Airbus,cwt_c srs_iii mfr_airbus
B744,Heavy Boeing Seven Forty-Seven,B,III,Boeing,cwt_b srs_iii mfr_boeing
C421,Twin Cessna,I,II,Cessna,cwt_i srs_ii mfr_cessna
F16,F-Sixteen,G,III,General Dynamics,cwt_g srs_iii mfr_generaldynamics
GLF4,Gulfstream,G,III,Gulfstream,cwt_g srs_iii mfr_gulfstream
B773,Heavy Boeing Seven Seventy-Seven,B,III,Boeing,cwt_b srs_iii mfr_boeing
A320,"Airbus (or ""A"") Three Twenty",F,III,Airbus,cwt_f srs_iii mfr_airbus
A342,"Heavy Airbus (or ""A"") Three Forty",D,III,Airbus,cwt_d srs_iii mfr_airbus
DH8D,Dash Eight,F,III,de Havilland Canada,cwt_f srs_iii mfr_dehavillandcanada
SR22,Cirrus,I,I,Cirrus,cwt_i srs_i mfr_cirrus
B06,Helicopter,I,I,Bell,cwt_i srs_i mfr_bell
B732,Boeing Seven Thirty-Seven,F,III,Boeing,cwt_f srs_iii mfr_boeing
BE20,King Air,I,III,Beechcraft,cwt_i srs_iii mfr_beechcraft
MD81,M-D Eighty,F,III,McDonnell Douglas,cwt_f srs_iii mfr_mcdonnelldouglas
LJ35,Lear or Learjet,H,III,Learjet,cwt_h srs_iii mfr_learjet
BE58,Baron,I,II,Beechcraft,cwt_i srs_ii mfr_beechcraft
C172,Cessna,I,I,Cessna,cwt_i srs_i mfr_cessna
B738,Boeing Seven Thirty-Seven,F,III,Boeing,cwt_f srs_iii mfr_boeing
C310,Twin Cessna,I,II,Cessna,cwt_i srs_ii mfr_cessna
CRJ9,Regional Jet (or C-R-J Nine / C-R-J / R-J),G,III,Canadair,cwt_g srs_iii mfr_canadair
P28A,Cherokee,I,I,Piper Aircraft,cwt_i srs_i mfr_piperaircraft
DC10,Heavy D-C Ten,C,III,McDonnell Douglas,cwt_c srs_iii mfr_mcdonnelldouglas
FA20,Falcon,H,III,Dassault,cwt_h srs_iii mfr_dassault
B763,Heavy Boeing Seven Sixty-Seven,C,III,Boeing,cwt_c srs_iii mfr_boeing
CL60,Challenger,G,III,Canadair,cwt_g srs_iii mfr_canadair
C208,Cessna,I,I,Cessna,cwt_i srs_i mfr_cessna
C550,Citation,I,III,Cessna,cwt_i srs_iii mfr_cessna
MD11,Heavy M-D Eleven,C,III,McDonnell Douglas,cwt_c srs_iii mfr_mcdonnelldouglas
M20P,Mooney,I,I,Mooney,cwt_i srs_i mfr_mooney
A319,"Airbus (or ""A"") Three Nineteen",F,III,Airbus,cwt_f srs_iii mfr_airbus
PC12,Pilatus,I,I,Pilatus,cwt_i srs_i mfr_pilatus
PA34,Seneca,I,II,Piper Aircraft,cwt_i srs_ii mfr_piperaircraft
AC68,Commander,I,II,Aero Commander,cwt_i srs_ii mfr_aerocommander
B752,Boeing Seven Fifty-Seven,E,III,Boeing,cwt_e srs_iii mfr_boeing
CRJ1,Regional Jet (or C-R-J One / C-R-J / R-J),G,III,Canadair,cwt_g srs_iii mfr_canadair
B762,Heavy Boeing Seven Sixty-Seven,C,III,Boeing,cwt_c srs_iii mfr_boeing
