rank,type_designator,group,description,engine_aircraft_class,wtc,cwt,srs,lahso,manufacturer_model
1,C02T,cessna,Fixed-wing,2 ~T / S,Light,I,II,6,"AJI, Turbo Star 402 ; CESSNA, 402 (turbine) ; SCENIC, Turbo Star 402"
2,C04T,cessna,Fixed-wing,2 ~T / S,Light,I,II,4,"CESSNA, 404 (turbine) OMNI, 404 Turbo Titan"
3,C06T,cessna,Fixed-wing,1 ~T / S,Light,I,I,2,"CESSNA, 206 (turbine) ; SOLOY, Turbine 206"
4,C07T,cessna,Fixed-wing,1 ~T / S,Light,I,I,2,"CESSNA, 207 (turbine) ; SOLOY, Turbine 207"
5,C10T,cessna,Fixed-wing,1 ~T / S,Light,I,I,2,"ADVANCED AIRCRAFT, Spirit 750 ADVANCED AIRCRAFT, Turbine P210 CESSNA, P210 (turbine)"
6,C14T,cessna,Fixed-wing,2T/S,Light,I,II,5,"CESSNA, 414 (turbine) SCENIC, Turbo Star 414"
7,C21T,cessna,Fixed-wing,2T/S,Light,I,II,5,"ADVANCED AIRCRAFT, Regent 1500 CESSNA, 421 (turbine) RILEY, Turbine Eagle 421 RILEY, Turbine Rocket 421"
8,C72R,cessna,Fixed-wing,1P/S,Light,I,I,1,"AVIONES COLOMBIA, 172RG CESSNA, 172RG Cutlass RG"
9,C77R,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 177RG Cardinal RG REIMS, F177RG Cardinal RG"
10,C82R,cessna,Fixed-wing,1P/S,Light,I,I,2,"AVIONES COLOMBIA, R182 CESSNA, R182 Skylane RG"
11,C82S,cessna,Fixed-wing,1P/S,Light,I,I,2,"REIMS, FR182 Skylane RG"
12,C82T,cessna,Fixed-wing,1P/S,Light,I,I,1,"CESSNA, T182 Turbo Skylane"
13,C120,cessna,Fixed-wing,1 P / S,Light,I,I,1,"CESSNA, 120"
14,C140,cessna,Fixed-wing,1P/S,Light,I,I,3,"CESSNA, 140 ; AJI, Turbo Star 414"
15,C150,cessna,Fixed-wing,1P/S,Light,I,I,1,"AVIONES COLOMBIA, 150 CESSNA, 150 CESSNA, 150 Commuter CESSNA, A150 Aerobat CESSNA, T-51"
16,C152,cessna,Fixed-wing,1P/S,Light,I,I,1,"AVIONES COLOMBIA, 152 CESSNA, 152"
17,C162,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 162 Skycatcher ; SHENYANG, 162 Skycatcher"
18,C170,cessna,Fixed-wing,1P/S,Light,I,I,4,"CESSNA, 170 ; AVIONES COLOMBIA, 172 ; CESSNA, 172 ; CESSNA, 172 Cutlass ; CESSNA, 172 Skyhawk ; CESSNA, P172 Skyhawk Powermatic ; CESSNA, R172"
19,C172,cessna,Fixed-wing,1P/S,Light,I,I,1,"CESSNA, R172 Hawk XP CESSNA, T-41 Mescalero FMA, P-172 ; REIMS, F172 ; REIMS, F172 Skyhawk ; REIMS, FP172 ; REIMS, FR172 Hawk XP ; REIMS, FR172 Reims Rocket"
20,C175,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 175 ; CESSNA, 175 Skylark"
21,C177,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 177 ; CESSNA, 177 Cardinal"
22,C180,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 180 ; CESSNA, 180 Skywagon 180 ; CESSNA, U-17C"
23,C182,cessna,Fixed-wing,1P/S,Light,I,I,2,"AVIONES COLOMBIA, 182 ; CESSN, 182 ; CESSNA, 182 Skylane ; DINFIA, A-182 ; FMA, A-182 ; PETERSON, 230 ; PETERSON, 260 ; PETERSON, 460 ; PETERSON, Katmai ; REIMS, F182 Skylane ; WREN, 460"
24,C185,cessna,Fixed-wing,1P/S,Light,I,I,2,"AVIATECH, Super Cyclone AVIONES COLOMBIA, 185 CESSNA, 185 Skywagon CESSNA, A185 AgCarryall CESSNA, A185 Skywagon 185 CESSNA, U-17A CESSNA, U-17B ST. JUST, Super Cyclone"
25,C188,cessna,Fixed-wing,1P/S,Light,I,I,1,"AVIONES COLOMBIA, 188 ; AVIONES COLOMBIA, AC-05 AgWagon ; AVIONES COLOMBIA, AgTrainer ; AVIONES COLOMBIA, Pijao ; CESSNA, 188 AgPickup ; CESSNA, 188 AgWagon ; CESSNA, A188 AgTruck ; CESSNA, A188 AgWagon ; CESSNA, T188 AgHusky ; FMA, A-A188 AgTruck"
26,C190,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 190"
27,C195,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 195 ; CESSNA, LC-126"
28,C205,cessna,Fixed-wing,1P/S,Light,I,I,3,"CESSNA, 205"
29,C206,cessna,Fixed-wing,1P/S,Light,I,I,2,"AVIONES COLOMBIA, 206 CESSNA, 206 Stationair CESSNA, 206 Super Skywagon CESSNA, P206 Super Skylane CESSNA, U206 Skywagon 206 CESSNA, U206 Stationair CESSNA, U206 Stationair 6 CESSNA, U206 Super Skywagon"
30,C207,cessna,Fixed-wing,1P/S,Light,I,I,2,"CESSNA, 207 Skywagon 207 CESSNA, 207 Stationair 7 CESSNA, 207 Stationair 8 CESSNA, T207 Turbo Skywagon 207 CESSNA, T207 Turbo Stationair 7 CESSNA, T207 Turbo Stationair 8 REIMS, F207"
31,C208,cessna,Fixed-wing,1 T / S,Light,I,I,3,"CESSNA, 208 Caravan 1 CESSNA, 208 Caravan 675 CESSNA, 208 Cargomaster CESSNA, 208 Grand Caravan CESSNA, 208 Super Cargomaster CESSNA, AC-208 Combat Caravan CESSNA, C-98 ; CESSNA, U-27"
32,C210,cessna,Fixed-wing,1P/S,Light,I,I,2,"AVIONES COLOMBIA, 210 CESSNA, 210 CESSNA, 210 Centurion"
33,C240,cessna,Fixed-wing,1P/S,Light,I,I,7,"CESSNA, Corvalis TTx ; CESSNA, T240 Corvalis TTx ; CESSNA, T240 TTx"
34,C303,cessna,Fixed-wing,2P/S,Light,I,II,2,"AVIONES COLOMBIA, T303 ; CESSNA, T303 Crusader"
35,C310,cessna,Fixed-wing,2P/S,Light,I,II,4,"AVIONES COLOMBIA, 310 ; CESSNA, 310 ; CESSNA, L-27 ; CESSNA, T310 ; CESSNA, U-3 ; COLEMILL, Bearcat ; COLEMILL, Executive 600 ; RILEY, 65 ; RILEY, Rocket ; RILEY, Super 310 ; RILEY, Turbo-Rocket ; RILEY, Turbostream"
36,C320,cessna,Fixed-wing,2P/S,Light,I,II,5,"CESSNA, 320 Skyknight COLEMILL, Century 600"
37,C335,cessna,Fixed-wing,2P/S,Light,I,II,4,"CESSNA, 335"
