AAO,Adverse Assumption Obstacle
Adverse Assumption Obstacle,AAO
AAR,Adapted arrival route
Adapted arrival route,AAR
AAR,Airport arrival rate
Airport arrival rate,AAR
AC,Advisory Circular
Advisory Circular,AC
ACC,Area Control Center
Area Control Center,ACC
ACE−IDS,ASOS Controller Equipment− Information Display System
ASOS Controller Equipment− Information Display System,ACE−IDS
ACL,Aircraft list
Aircraft list,ACL
ACLS,Automatic Carrier Landing System
Automatic Carrier Landing System,ACLS
ADAR,Adapted departure arrival route
Adapted departure arrival route,ADAR
ADC,Aerospace Defense Command
Aerospace Defense Command,ADC
ADIZ,Air Defense Identification Zone (to be pronounced “AY DIZ”)
Air Defense Identification Zone (to be pronounced “AY DIZ”),ADIZ
ADR,Adapted departure route
Adapted departure route,ADR
ADS,Automatic Dependent Surveillance
Automatic Dependent Surveillance,ADS
ADS−B,Automatic Dependent Surveillance−Broadcast
Automatic Dependent Surveillance−Broadcast,ADS−B
ADS−C,Automatic Dependent Surveillance−Contract
Automatic Dependent Surveillance−Contract,ADS−C
AFP,Airspace Flow Program
Airspace Flow Program,AFP
AIDC,ATS Interfacility Data Communications
ATS Interfacility Data Communications,AIDC
AIM,Aeronautical Information Manual
Aeronautical Information Manual,AIM
AIRMET,Airmen’s meteorological information
Airmen’s meteorological information,AIRMET
ALDARS,Automated Lightning Detection and Reporting System
Automated Lightning Detection and Reporting System,ALDARS
ALERFA,Alert phase code (Alerting Service)
Alert phase code (Alerting Service),ALERFA
ALNOT,Alert notice
Alert notice,ALNOT
ALS,Approach Light System
Approach Light System,ALS
ALTRV,Altitude reservation
Altitude reservation,ALTRV
AM,Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by MEARTS and another facility’s computer declared position during interfacility handoff
Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by MEARTS and another facility’s computer declared position during interfacility handoff,AM
AMASS,Airport Movement Area Safety System
Airport Movement Area Safety System,AMASS
AMB,Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by STARS and another facility’s computer declared position during interfacility handoff
Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by STARS and another facility’s computer declared position during interfacility handoff,AMB
AMVER,Automated Mutual Assistance Vessel Rescue System
