type_designator,aircraft_group,manufacturer_model,query,source,source_page,file_title,image_url,thumb_url,license_short_name,license_url,artist,credit,width,height,mime,local_path,public_path,sha256,status,reason,identity_status,identity_notes
C550,Cessna,"Cessna, Citation","""C550"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2024-08-01_Pitch_Black_Sim_002.jpg,File:2024-08-01 Pitch Black Sim 002.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/2024-08-01_Pitch_Black_Sim_002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/2024-08-01_Pitch_Black_Sim_002.jpg/960px-2024-08-01_Pitch_Black_Sim_002.jpg,Public domain,,Philippine Air Force (PAF),https://web.facebook.com/piopaf/posts/pfbid02LaDP834Gtm5goCCMfkmgtzgufehTJUqqz26FDosb25zMHgZLesWyqZVzds6uXBBkl,2048,1366,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/2024-08-01_Pitch_Black_Sim_002.jpg/960px-2024-08-01_Pitch_Black_Sim_002.jpg,927cc8fd7866ff701d92563e4fdea597292d0f6028be9a16e1e93783a8a67d48,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
C550,Cessna,"Cessna, Citation","""C550"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cessna_Citation_II_%284145294682%29.jpg,File:Cessna Citation II (4145294682).jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Cessna_Citation_II_%284145294682%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Cessna_Citation_II_%284145294682%29.jpg/960px-Cessna_Citation_II_%284145294682%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"John Taggart from Sunbury on Thames, Middlesex",20091128017,2453,1776,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Cessna_Citation_II_%284145294682%29.jpg/960px-Cessna_Citation_II_%284145294682%29.jpg,316e50e3beb9f21e7af3ac82f72b2cb1f5fad6ae33e1609bad80dfa52aefb4e7,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
C550,Cessna,"Cessna, Citation","""C550"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg,File:Cessna D-CELI IMG 6711 (16424783076).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg/960px-Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Ronnie Robertson,Cessna D-CELI IMG_6711,3672,1941,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg/960px-Cessna_D-CELI_IMG_6711_%2816424783076%29.jpg,ea9bf9a64d3c183659157e1452440658573a5ca41bd53ec5c2c17acff6d9d1b1,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
BE20,Beechcraft,"Beechcraft, King Air","""BE20"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg,"File:EBACE 2019, Le Grand-Saconnex (EB190532).jpg",https://upload.wikimedia.org/wikipedia/commons/0/0c/EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg/960px-EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Matti Blume,Own work,6720,4480,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg/960px-EBACE_2019%2C_Le_Grand-Saconnex_%28EB190532%29.jpg,f8a517a4ca69b10a22a4eabc05201823b4e8cc76336ad441aa6ade7da33bf368,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
BE20,Beechcraft,"Beechcraft, King Air","""BE20"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Light_aircraft.jpg,File:Light aircraft.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Light_aircraft.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Light_aircraft.jpg/960px-Light_aircraft.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dinil Samarasinha,Own work,2147,1610,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Light_aircraft.jpg/960px-Light_aircraft.jpg,282072036b2feca62dacd2c6998ca36825b5d4bf529974b1eb135e1cfdfa0950,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
SR22,Cirrus,"Cirrus, Cirrus","""SR22"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cirrus_Demo_Aircraft_%28270448090%29.jpg,File:Cirrus Demo Aircraft (270448090).jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Cirrus_Demo_Aircraft_%28270448090%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cirrus_Demo_Aircraft_%28270448090%29.jpg/960px-Cirrus_Demo_Aircraft_%28270448090%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Brian Cantoni,Cirrus Demo Aircraft,2033,1344,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cirrus_Demo_Aircraft_%28270448090%29.jpg/960px-Cirrus_Demo_Aircraft_%28270448090%29.jpg,1026cfe4eb2e6669add503f20de6550165ab5bdabb5ec7c2d31bfa6ca4e32002,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
GLF4,Gulfstream,"Gulfstream, Gulfstream","""GLF4"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg,File:4K-AZ888 Gulfstream G-IV G450 GLF4 - AZQ (28052958274).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,flybyeigenheer,https://www.flickr.com/photos/78631472@N03/28052958274/,2915,1942,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052958274%29.jpg,6897f061d7f1eecde174a61586317e0e7ed5e822b0bf65611fa4573750fd338f,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
GLF4,Gulfstream,"Gulfstream, Gulfstream","""GLF4"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg,File:4K-AZ888 Gulfstream G-IV G450 GLF4 - AZQ (28052984524).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,flybyeigenheer,https://www.flickr.com/photos/78631472@N03/28052984524/,2634,1756,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828052984524%29.jpg,3577bbbf17f42be69909ff80ed1a1b0f474002525a4557c8aea3cdb00f9f0e72,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
GLF4,Gulfstream,"Gulfstream, Gulfstream","""GLF4"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg,File:4K-AZ888 Gulfstream G-IV G450 GLF4 - AZQ (28386002180).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,flybyeigenheer,https://www.flickr.com/photos/78631472@N03/28386002180/,3470,2312,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg/960px-4K-AZ888_Gulfstream_G-IV_G450_GLF4_-_AZQ_%2828386002180%29.jpg,2ad2538e98cd21b73ff26f5607377d293aea3d346ef0dd7e971562ae982948c5,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
A320,Airbus,"Airbus, Airbus 320","""A320"" aircraft",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg,"File:2017-09-12 Atlantic Airways (Faroe Islands) Airbus A319 aircraft (OY-RCG) at Narsarsuaq, Greenland.jpg",https://upload.wikimedia.org/wikipedia/commons/4/43/2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg/960px-2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Gordon Leggett,Own work,5670,3785,image/jpeg,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg/960px-2017-09-12_Atlantic_Airways_%28Faroe_Islands%29_Airbus_A319_aircraft_%28OY-RCG%29_at_Narsarsuaq%2C_Greenland.jpg,d3096ae4e28d5a0a70628afbd0f4160fbb9da6a5304f990ab8026200a37d20fc,metadata_only,candidate_metadata_collected_without_download,not_reviewed,
